count,Interest Level,,
1,1076,0.0%,99.8%
1,1212,0.0%,99.8%
1,1246,0.0%,99.8%
1,1258,0.0%,99.8%
1,1288,0.0%,99.8%
1,1350,0.0%,99.8%
1,1410,0.0%,99.8%
1,1486,0.0%,99.8%
1,1594,0.0%,99.8%
1,1704,0.0%,99.9%
1,1740,0.0%,99.9%
1,1743,0.0%,99.9%
1,1779,0.0%,99.9%
1,1814,0.0%,99.9%
1,1941,0.0%,99.9%
1,2019,0.0%,99.9%
1,2172,0.0%,99.9%
1,2241,0.0%,99.9%
1,2418,0.0%,100.0%
1,2439,0.0%,100.0%
1,2511,0.0%,100.0%
1,2514,0.0%,100.0%
1,2721,0.0%,100.0%
8974,,,
