"precinct_name"
"1CS-1"
"1CS-2"
"1CS-3"
"1CS-4"
"1E-36"
"1E-43"
"1E-45"
"1E-55"
"1E-59"
"1ES-1"
"1F--1"
"1F--7"
"1FS"
"1FS-1"
"1FS-4"
"1FS-9"
"1LU"
"1MU"
"1MUF"
"1RV-2"
"1SB-1"
"1SB-4"
"1SB10"
"1SB12"
"1SU"
"2BV-1"
"2CU"
"2F--2"
"2F--3"
"2F--4"
"2F-R1"
"2F-R2"
"2F-R3"
"2F-R4"
"2HV-1"
"2MR"
"2R--1"
"2R--2"
"2RV-1"
"2SH-1"
"2SH-2"
"2SH-3"
"2SH-4"
"2SH-5"
"2SH-7"
"2SH-8"
"2SHF1"
"2SHR1"
"2SHR2"
"2SHS4"
"2SHS7"
"2SHVF"
"3A--1"
"3A--2"
"3A--3"
"3A--4"
"3A--7"
"3A--9"
"3A-10"
"3A-11"
"3A-12"
"3A-13"
"3A-J1"
"3A-P2"
"3A-P4"
"3AS-1"
"3AS-9"
"3B--1"
"3BLF"
"3E-2J"
"3ES-6"
"3FW"
"3FWS"
"3JCFR"
"3JCWR"
"3KL"
"3KL-1"
"3MA-1"
"3PA-1"
"3PESF"
"4E-11"
"4E-12"
"4E-13"
"4E-14"
"4E-21"
"4E-22"
"4E-23"
"4E-24"
"4E-25"
"4E-2J"
"4E-31"
"4E-32"
"4E-33"
"4E-34"
"4E-51"
"4E-52"
"4E-54"
"4ES-4"
"4ES-5"
"4ES-6"
"4PEF"
"5AS-4"
"5BL"
"5FB"
"5GP"
"5KT-1"
"5KT-3"
"5KT-4"
"5KT-6"
"5KTS3"
"5MC"
"5MK-1"
"5MK-2"
"5MK-3"
"5MK-4"
"5MK-4A"
"5MK-5"
"5MK-5A"
"5MK-6"
"5MK-6A"
"5MK-7"
"5MK-8"
"5OR"
"5PA-3"
"5T--1"
"5TU-1"
"5TU-4"
